Solar Irradiance,PV Current,PV Voltage,PV Energy,clusters_pred
687.7773285783336,59.7,19.4,0.0,2
682.1617254466668,59.5,26.8,0.0,2
680.7166530508335,59.4,16.1,0.0,2
671.4970056716667,59.3,9.1,0.0,2
673.4933834883334,59.3,25.2,0.0,2
671.7187073383334,59.3,7.7,0.0,2
672.1941029250003,59.2,20.0,0.0,2
452.6779637866664,13.0,17.2,0.0,3
453.1331757966668,27.8,10.6,0.0,3
453.72979758833367,37.7,17.1,0.0,3
455.1973453666664,44.5,34.3,0.0,3
471.4768551500003,49.3,5.5,0.0,3
485.77060281166666,52.2,24.7,0.0,3
545.6526643725007,54.2,15.5,0.0,3
607.4757708108341,55.6,39.2,0.0,3
638.5367945866667,56.6,49.1,0.0,2
658.956861620833,57.5,59.2,0.0,2
664.3193470225,57.9,57.4,0.0,2
674.5395562044447,58.2,50.0,0.0,2
677.9495361500002,58.4,85.2,0.0,2
678.6207571933334,58.6,81.1,0.0,2
687.2450192149997,58.8,101.9,0.0,2
731.6367149333325,59.0,89.0,100.0,2
732.9477883333325,59.1,69.6,100.0,2
739.9783161279156,59.3,75.8,100.0,2
767.810104014167,59.6,48.9,100.0,2
752.8578646329172,59.6,85.1,100.0,2
763.4497116183333,59.8,219.5,100.0,1
812.114134743334,60.2,172.4,200.0,1
816.9528280700004,60.4,137.6,200.0,1
818.5486384366671,60.5,176.8,200.0,1
818.7885840933341,60.5,171.6,200.0,1
864.1708487966674,60.6,183.6,300.0,1
867.8555153111107,60.7,219.2,300.0,1
722.0562075757335,56.2,0.0,300.0,2
722.1160728166667,60.7,67.6,0.0,2
724.2524738258336,60.7,57.6,0.0,2
719.8088293766667,60.5,63.4,0.0,2
721.6705276466665,60.2,65.1,0.0,2
703.0365758416667,60.0,31.2,0.0,2
715.240961145,59.9,39.4,0.0,2
693.5716721150003,59.8,14.6,0.0,2
680.16534763,59.5,9.5,0.0,2
671.7187073383334,59.3,4.7,0.0,2
452.7114983333329,0.0,0.0,0.0,3
452.7114983333329,4.2,0.0,0.0,3
452.7581970499997,11.9,4.3,0.0,3
452.9689543616668,26.9,23.8,0.0,3
453.97301433333337,37.2,2.2,0.0,3
456.01322151000005,44.0,22.7,0.0,3
458.4433333333337,48.7,40.6,0.0,3
483.2211896649996,51.9,30.5,0.0,3
547.9536689250008,54.0,44.9,0.0,3
602.4224845000008,55.6,36.7,0.0,3
638.5504309458338,56.6,48.0,0.0,2
663.95062433,57.6,86.8,0.0,2
672.2631711374999,58.3,64.2,0.0,2
699.0170271999997,58.8,199.0,0.0,2
686.6523725883329,59.1,73.9,0.0,2
733.1314378833334,59.1,71.7,100.0,2
731.678193763333,59.0,69.2,100.0,2
738.8926167058344,59.2,83.6,100.0,2
737.1445926999991,59.3,63.4,100.0,2
742.4346096333339,59.3,104.7,100.0,2
756.9411726099997,59.7,150.4,100.0,2
806.2292808841665,60.0,211.9,200.0,1
812.3964608000008,60.2,197.6,200.0,1
